"ccm_values.E","ccm_values.L","ccm_values.num_neighbors","ccm_values.num_pred","ccm_values.rho","ccm_values.mae","ccm_values.rmse","ccm_values.lower95","ccm_values.upper95","ccm_values.lower99","ccm_values.upper99","ccm_values.u_rho","d_rho","xmap_from","xmap_to","xmap_from_to"
11,11,12,275,0.189944495912134,0.129850318944275,0.691935682860193,-0.00666604257885765,0.05322667112303,-0.0151427449424159,0.0607487865483862,0.136717824789104,0.441706537454544,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,15,12,275,0.241195375640238,0.125725009553419,0.690988921562754,-0.00374549987290673,0.0677154682956591,-0.00777626122255175,0.0713910023904199,0.173479907344579,0.441706537454544,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,24,12,275,0.358432411737552,0.118891909063154,0.684462072162184,-0.00287417004107843,0.0836426093389489,-0.00753816564528423,0.0963545488739086,0.274789802398603,0.441706537454544,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,40,12,275,0.43922718150796,0.113334767151381,0.674239256062614,-0.00443743656489629,0.0924011764425698,-0.0170565793374805,0.1006893341561,0.34682600506539,0.441706537454544,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,80,12,275,0.529284259766131,0.105500966313103,0.656824824117392,-0.0102197024876089,0.102734113543494,-0.0216594486331151,0.112373049640742,0.426550146222638,0.441706537454544,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,120,12,275,0.563140284058652,0.100874010920612,0.647407299530421,-0.0130749630496591,0.0969672088497702,-0.0175633749000451,0.112485708083082,0.466173075208882,0.441706537454544,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,160,12,275,0.590070238429237,0.0974898967316128,0.637314518352679,-0.0149187579767347,0.0966248138504743,-0.0200606834021171,0.123836746790659,0.493445424578762,0.441706537454544,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,200,12,275,0.612233239529896,0.0954128548059222,0.626837437107431,-0.0188464181036374,0.100844475088429,-0.0225872727246228,0.130113595606657,0.511388764441467,0.441706537454544,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,240,12,275,0.622540148463246,0.0935747923297904,0.622044221779515,-0.0219323402122172,0.0950208387367442,-0.0252252096259623,0.12552483618152,0.527519309726502,0.441706537454544,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,285,12,275,0.631651033366678,0.0921076995541647,0.615765766443884,-0.022117780103521,0.110157946374657,-0.0255374016935278,0.14341079429017,0.52149308699202,0.441706537454544,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,11,12,275,0.0175087900471834,0.317213829699038,1.06444774773178,-0.0224194528011008,0.041219388579986,-0.0267713049355832,0.0481714115160026,-0.0237105985328026,-0.0220900986856266,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,15,12,275,0.0211340741559159,0.308047268491603,1.0520220409458,-0.0279133655517445,0.0364285451415981,-0.0311923243484911,0.0480266444081829,-0.0152944709856821,-0.0220900986856266,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,24,12,275,0.0400271077430867,0.264811776265494,1.03475099518102,-0.0217429519271818,0.061519787517,-0.0254091433858408,0.090493326499431,-0.0214926797739133,-0.0220900986856266,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,40,12,275,0.0626423271777338,0.277273230946046,1.03529850260079,-0.0250950993239968,0.0776549134998887,-0.0265731644220734,0.0920096350220958,-0.0150125863221548,-0.0220900986856266,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,80,12,275,0.048723633357178,0.275772821287331,1.03429150353094,-0.0336011975870186,0.0975607131053734,-0.0373734406108895,0.137447294662456,-0.0488370797481954,-0.0220900986856266,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,120,12,275,0.0294358089447152,0.285468773603755,1.04716339967238,-0.0372613872152144,0.134178373721347,-0.0422459080621105,0.17764100190372,-0.104742564776632,-0.0220900986856266,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,160,12,275,-0.0024300435517091,0.292297884243909,1.0554499723432,-0.042507289510554,0.144718909591978,-0.0466944013203133,0.20427036101984,-0.147148953143687,-0.0220900986856266,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
